f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f
f,-,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,-,f
f,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,f
f,-,f,-,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,-,f,-,f
f,-,f,-,f,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,f,-,f
f,-,f,-,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,-,f,-,f,-,f
f,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,f,-,f
f,-,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,-,f,-,f
f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,f
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,-,f
p,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f
p,p,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
